                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                0.63257,                0.68477,                 1.0583,                0.82598,                0.79198,                0.83721,                0.62261,                 0.8812,                0.92362,                 1.2286,               0.002278,               0.002278,               0.002278
                     41,                0.61196,                0.65054,                 1.0438,                0.80457,                0.80709,                0.83492,                0.61914,                0.90828,                0.89764,                 1.2859,                0.00208,                0.00208,                0.00208
                     42,                0.60632,                 0.6359,                 1.0428,                0.83827,                 0.8002,                0.83886,                0.62632,                0.89032,                0.90183,                 1.2683,               0.001882,               0.001882,               0.001882
                     43,                0.60218,                0.64622,                  1.044,                0.82333,                0.81486,                0.84499,                0.64055,                0.86363,                0.88085,                 1.2363,               0.001684,               0.001684,               0.001684
                     44,                 0.6336,                0.66096,                 1.0476,                0.84891,                  0.801,                0.84212,                0.63496,                 0.8841,                0.87348,                 1.2363,               0.001486,               0.001486,               0.001486
                     45,                0.62424,                0.63413,                 1.0535,                0.83633,                 0.8047,                0.83708,                0.63187,                0.86805,                0.86197,                 1.2273,               0.001288,               0.001288,               0.001288
                     46,                0.60558,                0.61659,                 1.0342,                0.83024,                0.79668,                0.83246,                0.62477,                0.87615,                0.87539,                 1.2417,                0.00109,                0.00109,                0.00109
                     47,                0.59425,                0.62185,                 1.0344,                0.82936,                0.79312,                0.83521,                0.63059,                0.87364,                0.87788,                  1.239,               0.000892,               0.000892,               0.000892
                     48,                0.57757,                0.58823,                 1.0278,                0.83027,                0.79056,                0.84084,                0.63614,                0.88394,                0.85044,                 1.2508,               0.000694,               0.000694,               0.000694
                     49,                0.59755,                0.60529,                 1.0304,                0.82741,                0.80783,                0.84616,                0.64111,                0.88235,                0.83791,                  1.252,               0.000496,               0.000496,               0.000496
